Course Code,Course Name,Lecturer(s),Day,Time,Date,Classroom,Examination Date
EPAT‐NF,"Essential Practices for Agile 
Teams","Aaron (Course Mgr)
Tin
Darryl",Saturday,9am ‐ 5pm,7‐Jan‐23,Horizon (L4),No Written Examination
EPAT‐NF,"Essential Practices for Agile 
Teams","Aaron (Course Mgr)
Tin
Darryl",Saturday,9am ‐ 5pm,14‐Jan‐23,Horizon (L4),No Written Examination
EPAT‐NF,"Essential Practices for Agile 
Teams","Aaron (Course Mgr)
Tin
Darryl",Saturday,9am ‐ 5pm,28‐Jan‐23,Integrity (L3),No Written Examination
OOAD‐NF,Software Analysis & Design,"Yuen Kwan (Course Mgr)
Darryl
Boon Kui",Thursday,6pm ‐ 10pm,2‐Feb‐23,Online,No Written Examination
OOAD‐NF,Software Analysis & Design,"Yuen Kwan (Course Mgr)
Darryl
Boon Kui",Friday,6pm ‐ 10pm,3‐Feb‐23,Online,No Written Examination
OOAD‐NF,Software Analysis & Design,"Yuen Kwan (Course Mgr)
Darryl
Boon Kui",Saturday,9am ‐ 5pm,11‐Feb‐23,Blue Ocean (L4),No Written Examination
OOAD‐NF,Software Analysis & Design,"Yuen Kwan (Course Mgr)
Darryl
Boon Kui",Saturday,9am ‐ 5pm,18‐Feb‐23,Blue Ocean (L4),No Written Examination
OODP‐NF,Software Design Patterns,"Boon Kui (Course Mgr)
Yuen Kwan",Saturday,9am ‐ 5pm,25‐Feb‐23,Horizon (L4),No Written Examination
OODP‐NF,Software Design Patterns,"Boon Kui (Course Mgr)
Yuen Kwan",Saturday,9am ‐ 5pm,4‐Mar‐23,Pinnacle (L4),No Written Examination
OODP‐NF,Software Design Patterns,"Boon Kui (Course Mgr)
Yuen Kwan",Saturday,9am ‐ 5pm,11‐Mar‐23,Pinnacle (L4),No Written Examination
DSOEA‐NF,"DevSecOps Engineering and 
Automation","Chandra (Course Mgr)
Kenneth",Saturday,9am ‐ 5pm,18‐Mar‐23,Influence (L3),No Written Examination
DSOEA‐NF,"DevSecOps Engineering and 
Automation","Chandra (Course Mgr)
Kenneth",Saturday,9am ‐ 5pm,25‐Mar‐23,Pinnacle (L4),No Written Examination
DSOEA‐NF,"DevSecOps Engineering and 
Automation","Chandra (Course Mgr)
Kenneth",Saturday,9am ‐ 5pm,1‐Apr‐23,Pinnacle (L4),No Written Examination
DSOEA‐NF,"DevSecOps Engineering and 
Automation","Chandra (Course Mgr)
Kenneth",Saturday,9am ‐ 5pm,8‐Apr‐23,Pinnacle (L4),No Written Examination
DSOEA‐NF,"DevSecOps Engineering and 
Automation","Chandra (Course Mgr)
Kenneth",Saturday,9am ‐ 5pm,15‐Apr‐23,Pinnacle (L4),No Written Examination
